CropID,CropYield,PestInfestationCount,DateID,WeatherID,Date,Year,Month,Quarter,Season,Day of the Week,Holidays,Crop Name,Crop Type,Soil Type,Irrigation Type,Location,Temperature,Precipitation,Wind Speed,Weather Conditions
13,866,5,13,13,2023-08-27,2023,8,Q3,Autumn,Sunday,True,Crop13,Rice,Loam,Sprinkler,Location13,30.67,9.16,17.02,Cloudy
14,1034,4,14,14,2023-05-21,2023,5,Q2,Spring,Sunday,False,Crop14,Rice,Loam,Sprinkler,Location14,28.94,17.07,6.41,Sunny
15,684,0,15,15,2023-07-22,2023,7,Q3,Autumn,Saturday,True,Crop15,Rice,Clay,Sprinkler,Location15,23.09,11.08,11.99,Cloudy
16,1055,8,16,16,2023-08-03,2023,8,Q3,Winter,Thursday,False,Crop16,Wheat,Loam,Sprinkler,Location16,34.19,18.88,9.78,Cloudy
17,504,4,17,17,2023-04-11,2023,4,Q2,Autumn,Tuesday,False,Crop17,Wheat,Clay,Drip,Location17,26.16,19.47,13.99,Rainy
18,965,8,18,18,2023-04-17,2023,4,Q2,Spring,Monday,True,Crop18,Rice,Clay,Drip,Location18,21.93,19.29,22.32,Cloudy
19,1210,9,19,19,2023-03-26,2023,3,Q1,Autumn,Sunday,True,Crop19,Rice,Clay,Drip,Location19,23.47,5.99,18.65,Cloudy
20,1360,6,20,20,2023-12-17,2023,12,Q4,Autumn,Sunday,False,Crop20,Wheat,Loam,Drip,Location20,29.34,16.2,22.67,Sunny
21,745,2,21,21,2023-04-27,2023,4,Q2,Winter,Thursday,False,Crop21,Wheat,Clay,Sprinkler,Location21,30.39,7.08,14.81,Cloudy
22,1051,7,22,22,2023-04-11,2023,4,Q2,Spring,Tuesday,True,Crop22,Wheat,Loam,Drip,Location22,28.04,9.92,6.99,Rainy
23,1496,5,23,23,2023-07-31,2023,7,Q3,Autumn,Monday,True,Crop23,Rice,Clay,Sprinkler,Location23,33.91,19.75,21.86,Sunny
24,675,5,24,24,2023-05-28,2023,5,Q2,Spring,Sunday,True,Crop24,Rice,Clay,Sprinkler,Location24,28.68,0.69,19.39,Rainy
25,1015,1,25,25,2023-05-11,2023,5,Q2,Winter,Thursday,True,Crop25,Wheat,Loam,Sprinkler,Location25,28.91,4.39,6.27,Rainy
26,900,7,26,26,2023-01-10,2023,1,Q1,Winter,Tuesday,True,Crop26,Rice,Loam,Drip,Location26,24.74,7.57,9.21,Rainy
27,615,5,27,27,2023-08-13,2023,8,Q3,Autumn,Sunday,False,Crop27,Wheat,Clay,Drip,Location27,21.54,8.59,8.91,Sunny
28,948,3,28,28,2023-10-31,2023,10,Q4,Winter,Tuesday,False,Crop28,Rice,Clay,Drip,Location28,27.81,17.68,22.78,Cloudy
29,505,8,29,29,2023-11-28,2023,11,Q4,Summer,Tuesday,False,Crop29,Wheat,Loam,Sprinkler,Location29,26.27,16.77,18.43,Sunny
30,525,9,30,30,2023-11-08,2023,11,Q4,Summer,Wednesday,True,Crop30,Rice,Loam,Sprinkler,Location30,28.31,14.15,19.53,Cloudy
31,1040,5,31,31,2023-08-13,2023,8,Q3,Summer,Sunday,True,Crop31,Wheat,Clay,Drip,Location31,26.11,10.61,14.62,Sunny
32,1221,10,32,32,2023-02-06,2023,2,Q1,Autumn,Monday,True,Crop32,Wheat,Clay,Sprinkler,Location32,25.13,1.22,17.87,Cloudy
33,762,1,33,33,2023-12-14,2023,12,Q4,Spring,Thursday,False,Crop33,Rice,Loam,Drip,Location33,20.1,4.68,11.22,Sunny
34,1050,1,34,34,2023-10-01,2023,10,Q4,Winter,Sunday,True,Crop34,Rice,Loam,Drip,Location34,28.16,16.91,11.26,Rainy
35,525,4,35,35,2023-02-08,2023,2,Q1,Summer,Wednesday,False,Crop35,Wheat,Clay,Sprinkler,Location35,31.3,4.71,24.26,Sunny
36,1084,9,36,36,2023-11-21,2023,11,Q4,Winter,Tuesday,False,Crop36,Rice,Clay,Drip,Location36,20.65,3.69,6.8,Cloudy
37,582,8,37,37,2023-10-08,2023,10,Q4,Summer,Sunday,True,Crop37,Rice,Clay,Drip,Location37,32.27,8.78,17.21,Cloudy
38,1019,10,38,38,2023-06-28,2023,6,Q2,Spring,Wednesday,True,Crop38,Wheat,Clay,Sprinkler,Location38,22.5,1.78,5.48,Rainy
39,874,8,39,39,2023-08-21,2023,8,Q3,Winter,Monday,True,Crop39,Rice,Loam,Sprinkler,Location39,25.42,11.97,5.6,Cloudy
40,1203,0,40,40,2023-02-08,2023,2,Q1,Spring,Wednesday,False,Crop40,Rice,Clay,Sprinkler,Location40,21.97,1.94,10.38,Cloudy
41,673,7,41,41,2023-03-09,2023,3,Q1,Autumn,Thursday,False,Crop41,Wheat,Clay,Sprinkler,Location41,30.61,5.07,10.97,Cloudy
42,1226,9,42,42,2023-01-25,2023,1,Q1,Spring,Wednesday,True,Crop42,Wheat,Clay,Drip,Location42,24.21,0.84,15.54,Rainy
43,533,3,43,43,2023-06-09,2023,6,Q2,Winter,Friday,False,Crop43,Rice,Loam,Sprinkler,Location43,32.39,15.53,10.69,Rainy
44,1043,7,44,44,2023-02-25,2023,2,Q1,Summer,Saturday,True,Crop44,Wheat,Loam,Drip,Location44,34.26,11.1,10.31,Cloudy
45,1367,0,45,45,2023-10-17,2023,10,Q4,Winter,Tuesday,False,Crop45,Rice,Loam,Drip,Location45,21.06,4.61,7.66,Rainy
46,1317,5,46,46,2023-03-19,2023,3,Q1,Winter,Sunday,True,Crop46,Rice,Loam,Sprinkler,Location46,29.93,19.47,20.57,Rainy
47,908,0,47,47,2023-02-21,2023,2,Q1,Spring,Tuesday,True,Crop47,Wheat,Clay,Drip,Location47,24.41,14.4,13.39,Sunny
48,555,7,48,48,2023-11-21,2023,11,Q4,Spring,Tuesday,True,Crop48,Wheat,Clay,Drip,Location48,34.76,17.29,11.06,Rainy
49,1274,1,49,49,2023-01-08,2023,1,Q1,Summer,Sunday,True,Crop49,Rice,Clay,Sprinkler,Location49,27.36,4.37,8.04,Rainy
50,790,8,50,50,2023-03-07,2023,3,Q1,Autumn,Tuesday,True,Crop50,Rice,Clay,Drip,Location50,32.08,3.82,19.0,Sunny
51,1006,7,51,51,2023-01-13,2023,1,Q1,Summer,Friday,True,Crop51,Rice,Clay,Drip,Location51,21.13,10.23,9.61,Cloudy
52,640,8,52,52,2023-09-02,2023,9,Q3,Summer,Saturday,True,Crop52,Rice,Clay,Drip,Location52,21.62,0.86,22.78,Sunny
53,820,4,53,53,2023-10-24,2023,10,Q4,Summer,Tuesday,True,Crop53,Rice,Clay,Sprinkler,Location53,29.82,18.82,5.23,Sunny
54,1110,1,54,54,2023-10-08,2023,10,Q4,Spring,Sunday,True,Crop54,Rice,Loam,Sprinkler,Location54,23.85,0.13,8.8,Rainy
55,723,8,55,55,2023-11-27,2023,11,Q4,Spring,Monday,True,Crop55,Wheat,Loam,Sprinkler,Location55,34.32,7.62,18.73,Sunny
56,1300,0,56,56,2023-01-14,2023,1,Q1,Winter,Saturday,False,Crop56,Wheat,Loam,Sprinkler,Location56,28.74,4.99,23.6,Cloudy
57,1288,5,57,57,2023-05-14,2023,5,Q2,Autumn,Sunday,True,Crop57,Rice,Loam,Sprinkler,Location57,27.49,0.3,15.3,Cloudy
58,1194,8,58,58,2023-08-18,2023,8,Q3,Spring,Friday,True,Crop58,Rice,Loam,Drip,Location58,22.9,12.41,21.89,Rainy
59,1457,0,59,59,2023-02-24,2023,2,Q1,Summer,Friday,True,Crop59,Wheat,Loam,Sprinkler,Location59,33.1,8.0,9.81,Rainy
60,1100,1,60,60,2023-01-21,2023,1,Q1,Winter,Saturday,True,Crop60,Wheat,Loam,Drip,Location60,20.18,18.17,23.63,Cloudy
61,901,2,61,61,2023-10-06,2023,10,Q4,Winter,Friday,False,Crop61,Rice,Clay,Sprinkler,Location61,27.23,11.61,15.03,Rainy
62,573,3,62,62,2023-01-17,2023,1,Q1,Winter,Tuesday,True,Crop62,Rice,Clay,Drip,Location62,31.39,9.4,12.32,Cloudy
63,727,10,63,63,2023-03-12,2023,3,Q1,Spring,Sunday,False,Crop63,Wheat,Loam,Drip,Location63,23.56,1.2,21.82,Cloudy
64,1134,9,64,64,2023-11-06,2023,11,Q4,Winter,Monday,False,Crop64,Wheat,Loam,Drip,Location64,33.65,13.28,5.68,Sunny
65,1340,2,65,65,2023-12-19,2023,12,Q4,Winter,Tuesday,True,Crop65,Wheat,Clay,Sprinkler,Location65,26.93,13.02,16.2,Cloudy
66,1090,7,66,66,2023-07-20,2023,7,Q3,Summer,Thursday,False,Crop66,Rice,Clay,Drip,Location66,34.81,0.61,22.7,Cloudy
67,701,5,67,67,2023-12-05,2023,12,Q4,Spring,Tuesday,True,Crop67,Wheat,Clay,Drip,Location67,25.68,11.24,14.02,Sunny
68,1100,0,68,68,2023-11-07,2023,11,Q4,Winter,Tuesday,True,Crop68,Wheat,Loam,Drip,Location68,27.2,9.01,23.42,Sunny
69,1476,10,69,69,2023-02-01,2023,2,Q1,Winter,Wednesday,True,Crop69,Rice,Loam,Drip,Location69,27.2,15.77,6.25,Rainy
70,1136,9,70,70,2023-07-17,2023,7,Q3,Winter,Monday,True,Crop70,Wheat,Clay,Drip,Location70,34.78,1.74,24.84,Cloudy
71,948,6,71,71,2023-07-30,2023,7,Q3,Spring,Sunday,False,Crop71,Rice,Loam,Sprinkler,Location71,25.9,8.84,19.67,Cloudy
72,944,7,72,72,2023-12-17,2023,12,Q4,Summer,Sunday,False,Crop72,Rice,Clay,Sprinkler,Location72,26.14,14.66,8.51,Rainy
73,1224,6,73,73,2023-07-28,2023,7,Q3,Summer,Friday,False,Crop73,Rice,Loam,Sprinkler,Location73,24.98,0.79,24.82,Sunny
74,1135,9,74,74,2023-09-20,2023,9,Q3,Spring,Wednesday,False,Crop74,Rice,Loam,Drip,Location74,25.93,0.03,10.78,Rainy
75,605,3,75,75,2023-09-04,2023,9,Q3,Autumn,Monday,True,Crop75,Wheat,Clay,Sprinkler,Location75,29.89,19.86,11.05,Rainy
76,922,7,76,76,2023-03-18,2023,3,Q1,Autumn,Saturday,False,Crop76,Wheat,Loam,Drip,Location76,20.17,1.2,7.53,Cloudy
77,676,6,77,77,2023-12-30,2023,12,Q4,Spring,Saturday,False,Crop77,Rice,Loam,Drip,Location77,30.69,18.29,14.9,Cloudy
78,554,5,78,78,2023-03-29,2023,3,Q1,Autumn,Wednesday,False,Crop78,Wheat,Clay,Sprinkler,Location78,21.0,2.89,5.69,Sunny
79,1165,3,79,79,2023-11-19,2023,11,Q4,Autumn,Sunday,False,Crop79,Wheat,Loam,Sprinkler,Location79,26.72,8.32,6.44,Cloudy
80,602,2,80,80,2023-04-22,2023,4,Q2,Autumn,Saturday,False,Crop80,Rice,Clay,Sprinkler,Location80,34.98,14.63,23.58,Cloudy
81,609,3,81,81,2023-07-11,2023,7,Q3,Spring,Tuesday,False,Crop81,Rice,Loam,Sprinkler,Location81,25.38,13.64,16.13,Cloudy
82,942,2,82,82,2023-10-30,2023,10,Q4,Autumn,Monday,False,Crop82,Rice,Clay,Sprinkler,Location82,25.13,1.99,16.12,Sunny
83,659,0,83,83,2023-12-18,2023,12,Q4,Autumn,Monday,True,Crop83,Wheat,Clay,Drip,Location83,22.46,14.58,22.44,Rainy
84,862,9,84,84,2023-10-10,2023,10,Q4,Autumn,Tuesday,False,Crop84,Wheat,Clay,Sprinkler,Location84,26.46,5.83,18.18,Cloudy
85,718,9,85,85,2023-11-05,2023,11,Q4,Summer,Sunday,False,Crop85,Rice,Clay,Drip,Location85,26.28,8.93,10.03,Rainy
86,1054,10,86,86,2023-07-19,2023,7,Q3,Spring,Wednesday,True,Crop86,Wheat,Clay,Drip,Location86,22.99,19.19,10.6,Sunny
87,1416,6,87,87,2023-11-03,2023,11,Q4,Summer,Friday,True,Crop87,Wheat,Clay,Sprinkler,Location87,20.74,2.1,23.38,Rainy
88,1485,9,88,88,2023-11-21,2023,11,Q4,Winter,Tuesday,True,Crop88,Rice,Loam,Drip,Location88,26.25,5.11,6.19,Sunny
89,1058,8,89,89,2023-01-13,2023,1,Q1,Spring,Friday,False,Crop89,Rice,Loam,Sprinkler,Location89,20.47,16.88,21.88,Sunny
90,659,6,90,90,2023-09-16,2023,9,Q3,Winter,Saturday,True,Crop90,Wheat,Clay,Drip,Location90,30.63,0.07,11.22,Rainy
91,1168,5,91,91,2023-12-15,2023,12,Q4,Spring,Friday,False,Crop91,Wheat,Loam,Sprinkler,Location91,28.56,2.29,19.2,Rainy
92,1312,10,92,92,2023-07-29,2023,7,Q3,Summer,Saturday,False,Crop92,Wheat,Loam,Sprinkler,Location92,33.09,19.65,22.45,Sunny
93,836,6,93,93,2023-09-09,2023,9,Q3,Winter,Saturday,False,Crop93,Rice,Clay,Sprinkler,Location93,27.16,16.81,7.28,Cloudy
94,945,6,94,94,2023-02-27,2023,2,Q1,Summer,Monday,True,Crop94,Rice,Loam,Drip,Location94,31.23,2.48,23.42,Sunny
95,818,3,95,95,2023-10-15,2023,10,Q4,Autumn,Sunday,True,Crop95,Rice,Clay,Sprinkler,Location95,22.23,0.47,10.78,Cloudy
96,1107,4,96,96,2023-01-30,2023,1,Q1,Summer,Monday,True,Crop96,Wheat,Clay,Sprinkler,Location96,32.96,16.65,18.24,Cloudy
97,815,3,97,97,2023-10-05,2023,10,Q4,Autumn,Thursday,True,Crop97,Wheat,Clay,Drip,Location97,33.2,6.01,18.3,Sunny
98,831,5,98,98,2023-02-19,2023,2,Q1,Autumn,Sunday,True,Crop98,Wheat,Clay,Sprinkler,Location98,25.86,2.47,10.46,Sunny
99,842,5,99,99,2023-09-02,2023,9,Q3,Autumn,Saturday,False,Crop99,Rice,Loam,Sprinkler,Location99,27.05,0.13,23.88,Sunny
100,1241,5,100,100,2023-06-23,2023,6,Q2,Summer,Friday,False,Crop100,Rice,Clay,Drip,Location100,25.47,8.98,21.26,Sunny
101,1242,1,101,101,2023-04-19,2023,4,Q2,Summer,Wednesday,False,Crop101,Wheat,Loam,Drip,Location101,30.66,6.9,22.34,Sunny
102,885,4,102,102,2023-12-10,2023,12,Q4,Winter,Sunday,True,Crop102,Wheat,Loam,Sprinkler,Location102,22.56,6.24,14.2,Cloudy
103,783,7,103,103,2023-11-25,2023,11,Q4,Spring,Saturday,True,Crop103,Wheat,Loam,Sprinkler,Location103,33.69,14.56,9.01,Sunny
104,785,10,104,104,2023-07-04,2023,7,Q3,Autumn,Tuesday,False,Crop104,Wheat,Loam,Drip,Location104,24.25,11.55,10.36,Rainy
105,1196,2,105,105,2023-04-11,2023,4,Q2,Autumn,Tuesday,True,Crop105,Rice,Clay,Drip,Location105,23.86,2.67,16.85,Rainy
106,820,0,106,106,2023-03-25,2023,3,Q1,Summer,Saturday,True,Crop106,Wheat,Loam,Sprinkler,Location106,25.22,7.81,14.58,Sunny
107,1368,4,107,107,2023-10-24,2023,10,Q4,Spring,Tuesday,True,Crop107,Rice,Loam,Sprinkler,Location107,22.84,5.0,20.05,Rainy
108,916,7,108,108,2023-08-25,2023,8,Q3,Summer,Friday,True,Crop108,Wheat,Loam,Sprinkler,Location108,33.69,18.01,7.23,Rainy
109,580,8,109,109,2023-01-17,2023,1,Q1,Summer,Tuesday,False,Crop109,Wheat,Clay,Drip,Location109,33.61,10.71,14.96,Rainy
110,1271,2,110,110,2023-04-22,2023,4,Q2,Autumn,Saturday,False,Crop110,Rice,Clay,Sprinkler,Location110,34.95,5.21,19.74,Sunny
111,1434,7,111,111,2023-01-21,2023,1,Q1,Autumn,Saturday,False,Crop111,Wheat,Clay,Sprinkler,Location111,23.27,16.43,7.8,Cloudy
112,945,8,112,112,2023-06-11,2023,6,Q2,Summer,Sunday,False,Crop112,Rice,Clay,Sprinkler,Location112,32.26,6.03,13.53,Sunny
113,789,5,113,113,2023-01-10,2023,1,Q1,Spring,Tuesday,False,Crop113,Rice,Loam,Drip,Location113,33.73,11.34,11.97,Sunny
114,813,8,114,114,2023-04-10,2023,4,Q2,Autumn,Monday,False,Crop114,Wheat,Loam,Sprinkler,Location114,30.48,17.22,8.86,Rainy
115,1121,3,115,115,2023-07-04,2023,7,Q3,Spring,Tuesday,False,Crop115,Wheat,Loam,Sprinkler,Location115,23.2,5.26,21.3,Sunny
116,557,3,116,116,2023-03-17,2023,3,Q1,Autumn,Friday,True,Crop116,Rice,Loam,Drip,Location116,31.87,9.76,23.87,Sunny
117,860,1,117,117,2023-11-14,2023,11,Q4,Winter,Tuesday,False,Crop117,Rice,Clay,Sprinkler,Location117,30.59,11.69,23.0,Cloudy
118,1314,10,118,118,2023-06-10,2023,6,Q2,Autumn,Saturday,True,Crop118,Wheat,Loam,Sprinkler,Location118,34.66,6.11,21.34,Rainy
119,843,0,119,119,2023-10-13,2023,10,Q4,Summer,Friday,False,Crop119,Wheat,Loam,Drip,Location119,26.94,14.89,15.88,Cloudy
120,1223,9,120,120,2023-06-06,2023,6,Q2,Summer,Tuesday,True,Crop120,Rice,Loam,Drip,Location120,28.24,8.17,23.39,Sunny
121,711,6,121,121,2023-12-22,2023,12,Q4,Winter,Friday,False,Crop121,Wheat,Clay,Drip,Location121,20.95,13.2,6.17,Sunny
122,684,2,122,122,2023-07-22,2023,7,Q3,Autumn,Saturday,True,Crop122,Rice,Clay,Drip,Location122,27.05,4.49,5.71,Sunny
123,1118,9,123,123,2023-10-24,2023,10,Q4,Spring,Tuesday,True,Crop123,Wheat,Loam,Drip,Location123,22.86,12.98,20.75,Sunny
124,1292,0,124,124,2023-03-27,2023,3,Q1,Winter,Monday,True,Crop124,Wheat,Clay,Sprinkler,Location124,23.11,3.31,12.86,Sunny
125,1036,1,125,125,2023-01-18,2023,1,Q1,Summer,Wednesday,True,Crop125,Rice,Loam,Drip,Location125,22.38,12.72,14.08,Rainy
126,1353,5,126,126,2023-02-03,2023,2,Q1,Summer,Friday,False,Crop126,Rice,Loam,Sprinkler,Location126,24.7,16.65,24.11,Cloudy
127,749,7,127,127,2023-11-30,2023,11,Q4,Summer,Thursday,True,Crop127,Wheat,Clay,Sprinkler,Location127,20.68,13.27,20.46,Cloudy
128,1397,1,128,128,2023-05-07,2023,5,Q2,Winter,Sunday,False,Crop128,Rice,Loam,Sprinkler,Location128,25.9,15.79,23.74,Sunny
129,914,10,129,129,2023-04-17,2023,4,Q2,Autumn,Monday,True,Crop129,Wheat,Clay,Drip,Location129,20.55,19.72,16.61,Rainy
130,1405,10,130,130,2023-07-28,2023,7,Q3,Autumn,Friday,True,Crop130,Wheat,Clay,Drip,Location130,25.48,14.55,6.22,Sunny
131,638,0,131,131,2023-05-22,2023,5,Q2,Summer,Monday,True,Crop131,Wheat,Clay,Sprinkler,Location131,31.42,11.66,18.75,Sunny
132,1315,4,132,132,2023-01-23,2023,1,Q1,Winter,Monday,False,Crop132,Rice,Loam,Drip,Location132,25.28,11.41,14.56,Sunny
133,1127,6,133,133,2023-03-17,2023,3,Q1,Spring,Friday,True,Crop133,Wheat,Clay,Sprinkler,Location133,21.41,7.64,18.61,Rainy
134,1241,8,134,134,2023-12-28,2023,12,Q4,Summer,Thursday,True,Crop134,Wheat,Loam,Sprinkler,Location134,34.15,9.42,16.27,Rainy
135,1210,3,135,135,2023-03-05,2023,3,Q1,Winter,Sunday,False,Crop135,Wheat,Clay,Drip,Location135,34.31,3.25,19.17,Rainy
136,728,3,136,136,2023-09-12,2023,9,Q3,Summer,Tuesday,True,Crop136,Rice,Clay,Sprinkler,Location136,26.67,14.18,20.22,Cloudy
137,1088,7,137,137,2023-04-29,2023,4,Q2,Autumn,Saturday,True,Crop137,Wheat,Clay,Drip,Location137,28.69,19.58,19.58,Rainy
138,1053,1,138,138,2023-08-31,2023,8,Q3,Winter,Thursday,False,Crop138,Wheat,Clay,Drip,Location138,30.8,18.28,16.13,Sunny
139,752,9,139,139,2023-02-11,2023,2,Q1,Summer,Saturday,True,Crop139,Rice,Clay,Drip,Location139,30.93,11.62,13.29,Rainy
140,537,0,140,140,2023-11-08,2023,11,Q4,Autumn,Wednesday,False,Crop140,Wheat,Clay,Sprinkler,Location140,24.96,0.99,6.88,Sunny
141,1390,1,141,141,2023-07-17,2023,7,Q3,Spring,Monday,False,Crop141,Wheat,Loam,Drip,Location141,20.69,4.61,24.65,Rainy
142,858,6,142,142,2023-07-13,2023,7,Q3,Spring,Thursday,False,Crop142,Rice,Clay,Sprinkler,Location142,20.93,1.86,9.37,Rainy
143,1453,1,143,143,2023-03-08,2023,3,Q1,Spring,Wednesday,False,Crop143,Wheat,Loam,Drip,Location143,26.97,10.21,7.14,Cloudy
144,927,1,144,144,2023-06-11,2023,6,Q2,Spring,Sunday,False,Crop144,Wheat,Loam,Sprinkler,Location144,33.46,16.72,14.4,Cloudy
145,1328,1,145,145,2023-06-22,2023,6,Q2,Winter,Thursday,False,Crop145,Wheat,Clay,Drip,Location145,28.52,4.72,18.06,Cloudy
146,1323,2,146,146,2023-08-02,2023,8,Q3,Autumn,Wednesday,True,Crop146,Wheat,Clay,Drip,Location146,21.58,10.44,17.4,Cloudy
147,1155,2,147,147,2023-01-07,2023,1,Q1,Spring,Saturday,False,Crop147,Wheat,Clay,Sprinkler,Location147,27.21,6.61,8.53,Cloudy
148,1104,3,148,148,2023-08-28,2023,8,Q3,Spring,Monday,True,Crop148,Rice,Clay,Sprinkler,Location148,29.07,0.29,8.94,Rainy
149,574,5,149,149,2023-03-15,2023,3,Q1,Summer,Wednesday,False,Crop149,Rice,Clay,Drip,Location149,32.46,3.99,7.63,Rainy
150,1322,6,150,150,2023-03-14,2023,3,Q1,Autumn,Tuesday,True,Crop150,Wheat,Loam,Drip,Location150,25.28,3.09,13.62,Sunny
151,773,7,151,151,2023-03-21,2023,3,Q1,Winter,Tuesday,True,Crop151,Wheat,Loam,Sprinkler,Location151,22.87,5.58,19.09,Cloudy
152,1231,6,152,152,2023-04-02,2023,4,Q2,Autumn,Sunday,False,Crop152,Wheat,Loam,Sprinkler,Location152,29.49,15.29,10.37,Sunny
153,1429,5,153,153,2023-09-04,2023,9,Q3,Spring,Monday,True,Crop153,Wheat,Loam,Drip,Location153,24.06,18.88,18.75,Rainy
154,1462,0,154,154,2023-06-05,2023,6,Q2,Spring,Monday,False,Crop154,Wheat,Clay,Sprinkler,Location154,27.55,18.61,15.75,Sunny
155,946,3,155,155,2023-01-07,2023,1,Q1,Spring,Saturday,False,Crop155,Wheat,Loam,Drip,Location155,23.92,9.43,8.29,Sunny
156,1097,8,156,156,2023-01-22,2023,1,Q1,Winter,Sunday,False,Crop156,Wheat,Clay,Sprinkler,Location156,27.51,3.71,14.61,Rainy
157,1174,6,157,157,2023-09-13,2023,9,Q3,Autumn,Wednesday,False,Crop157,Wheat,Loam,Drip,Location157,25.77,2.7,5.88,Cloudy
158,620,9,158,158,2023-04-21,2023,4,Q2,Summer,Friday,False,Crop158,Wheat,Clay,Drip,Location158,20.22,13.32,20.31,Rainy
159,710,9,159,159,2023-06-09,2023,6,Q2,Spring,Friday,True,Crop159,Rice,Loam,Sprinkler,Location159,33.65,11.03,6.92,Sunny
160,768,1,160,160,2023-11-22,2023,11,Q4,Summer,Wednesday,False,Crop160,Rice,Clay,Drip,Location160,31.76,10.61,6.34,Sunny
161,583,1,161,161,2023-05-15,2023,5,Q2,Spring,Monday,False,Crop161,Rice,Loam,Drip,Location161,29.39,11.04,12.6,Sunny
162,784,10,162,162,2023-12-30,2023,12,Q4,Autumn,Saturday,True,Crop162,Rice,Loam,Drip,Location162,20.23,15.23,6.58,Sunny
163,1413,8,163,163,2023-09-18,2023,9,Q3,Summer,Monday,True,Crop163,Wheat,Clay,Sprinkler,Location163,26.44,3.41,6.56,Rainy
164,1330,3,164,164,2023-03-29,2023,3,Q1,Summer,Wednesday,True,Crop164,Wheat,Clay,Drip,Location164,26.52,19.56,22.51,Sunny
165,1110,8,165,165,2023-08-03,2023,8,Q3,Spring,Thursday,True,Crop165,Wheat,Clay,Sprinkler,Location165,30.46,12.29,23.63,Rainy
166,1184,1,166,166,2023-10-21,2023,10,Q4,Autumn,Saturday,True,Crop166,Rice,Loam,Drip,Location166,34.35,14.49,20.65,Cloudy
167,614,8,167,167,2023-05-22,2023,5,Q2,Summer,Monday,True,Crop167,Rice,Loam,Drip,Location167,32.34,1.27,15.14,Rainy
168,794,1,168,168,2023-03-07,2023,3,Q1,Spring,Tuesday,False,Crop168,Rice,Clay,Sprinkler,Location168,25.09,9.08,8.32,Rainy
169,842,9,169,169,2023-01-14,2023,1,Q1,Spring,Saturday,True,Crop169,Wheat,Clay,Drip,Location169,29.92,6.99,10.69,Sunny
170,1239,8,170,170,2023-11-30,2023,11,Q4,Winter,Thursday,False,Crop170,Rice,Loam,Sprinkler,Location170,22.08,15.11,18.97,Sunny
171,1251,7,171,171,2023-10-12,2023,10,Q4,Summer,Thursday,True,Crop171,Rice,Clay,Sprinkler,Location171,31.13,11.92,19.81,Cloudy
172,1307,7,172,172,2023-03-26,2023,3,Q1,Spring,Sunday,False,Crop172,Wheat,Clay,Drip,Location172,27.18,12.16,23.61,Cloudy
173,979,9,173,173,2023-04-19,2023,4,Q2,Spring,Wednesday,True,Crop173,Rice,Clay,Drip,Location173,21.13,19.11,10.3,Rainy
174,1088,6,174,174,2023-09-30,2023,9,Q3,Autumn,Saturday,False,Crop174,Rice,Clay,Drip,Location174,32.88,17.59,13.47,Sunny
175,846,2,175,175,2023-01-30,2023,1,Q1,Spring,Monday,True,Crop175,Wheat,Clay,Sprinkler,Location175,29.67,0.06,9.17,Sunny
176,821,7,176,176,2023-08-03,2023,8,Q3,Winter,Thursday,False,Crop176,Rice,Clay,Drip,Location176,28.59,18.33,20.88,Rainy
